Math,Science,English,History,ComputerScience
90.53,55.53,80.29,85.88,43.62
52.25,39.41,65.96,80.76,92.54
71.11,94.43,49.30,44.45,69.17
75.76,69.51,38.99,68.66,50.43
80.05,75.50,55.90,62.29,54.11
69.06,84.33,55.21,77.56,62.05
58.11,68.39,54.47,61.70,52.03
99.47,70.53,59.50,73.21,68.32
66.69,79.21,81.36,62.04,61.36
65.87,35.47,47.27,90.50,94.67
66.26,78.65,74.67,100.00,86.79
68.08,55.67,45.90,73.05,58.65
48.67,60.30,53.78,95.31,83.22
69.88,92.20,71.16,57.08,92.85
78.08,54.44,67.14,56.87,49.26
83.89,98.64,49.02,78.44,60.24
62.69,61.11,57.04,70.73,57.54
74.06,69.25,66.42,56.39,61.35
81.33,77.51,55.34,71.49,81.27
44.96,78.15,60.06,78.56,58.55
42.93,45.59,70.72,73.90,56.44
79.58,45.08,69.01,51.83,60.22
70.71,57.09,64.23,85.09,61.35
82.54,53.05,77.95,91.62,32.93
58.05,78.66,66.95,75.57,60.94
71.30,67.66,87.52,73.82,75.06
63.82,62.69,63.51,75.92,63.69
74.35,100.00,83.07,65.11,88.02
63.88,39.43,54.88,41.94,64.73
70.28,95.15,74.90,66.71,82.44
36.83,73.53,81.56,47.82,87.16
75.08,63.77,79.49,100.00,72.73
73.72,63.11,57.25,82.46,57.16
71.07,62.84,77.18,75.00,85.56
62.35,65.95,55.32,63.34,75.66
81.35,56.17,83.04,90.33,76.20
98.15,58.39,51.33,43.32,92.44
79.82,69.17,74.20,53.12,100.00
71.94,71.64,80.89,77.22,73.36
58.14,77.07,98.23,90.18,93.90
62.33,55.16,68.11,70.84,86.41
44.61,92.94,67.63,63.60,54.82
45.18,82.35,71.10,50.65,50.57
64.96,95.04,66.11,47.45,66.31
65.91,29.55,69.19,66.54,80.44
97.73,86.90,65.97,53.40,100.00
70.89,70.21,69.64,72.97,67.83
61.40,61.80,69.51,61.85,59.31
71.60,66.18,92.56,30.24,86.37
88.69,38.90,64.86,64.43,48.89
58.33,53.34,96.28,84.04,89.07
80.83,53.06,62.13,77.34,51.67
80.69,66.40,64.38,80.66,76.66
64.59,87.39,53.78,79.24,78.90
65.36,74.89,51.23,83.86,67.23
62.16,85.74,59.43,48.87,46.65
79.09,50.79,96.32,38.77,95.45
73.17,68.55,61.83,75.99,69.44
86.55,71.71,72.25,64.55,69.15
74.62,44.35,49.78,81.15,72.56
67.24,70.28,75.21,61.90,58.33
72.94,55.32,76.12,44.46,85.44
77.09,73.84,84.74,94.98,85.22
42.39,50.81,60.63,70.39,77.76
59.11,72.80,58.67,60.83,48.90
56.15,49.72,55.36,85.80,55.76
100.00,77.40,72.77,57.12,80.50
61.37,71.83,100.00,68.56,87.24
59.45,69.48,96.56,60.60,97.19
80.62,61.56,79.49,84.59,79.33
46.45,59.09,66.29,68.88,79.31
72.67,49.97,75.70,79.16,78.40
86.21,82.51,76.89,68.95,45.09
76.44,73.12,74.07,50.85,53.78
85.80,69.41,80.22,70.42,70.45
84.07,62.26,71.44,63.07,63.48
65.36,73.33,62.82,88.84,56.58
67.20,63.40,91.70,72.95,85.48
47.72,74.01,83.34,71.23,85.98
62.24,91.14,100.00,64.56,63.32
91.80,93.69,62.16,63.70,65.77
49.83,56.22,54.94,58.48,69.48
73.51,93.26,55.02,84.76,66.79
69.26,80.12,53.16,75.74,72.50
77.39,74.34,100.00,60.43,62.04
60.65,61.67,60.44,87.84,91.31
61.44,57.51,77.07,61.72,79.49
73.04,47.26,93.21,96.94,60.81
64.18,74.29,75.02,79.88,100.00
67.35,58.03,49.31,59.04,69.50
96.92,62.24,73.36,69.75,87.83
100.00,62.04,62.66,85.66,80.23
97.70,78.76,64.61,78.86,86.63
82.31,77.61,86.00,87.54,90.73
79.73,67.49,72.20,88.10,57.75
75.53,64.10,70.43,89.18,72.87
70.70,49.60,81.19,79.68,100.00
65.38,73.29,73.74,93.66,68.57
74.19,79.12,72.80,63.30,72.91
86.10,54.60,71.99,59.50,87.93
47.15,61.62,75.66,93.48,69.01
61.67,98.22,48.28,37.02,76.60
62.47,54.68,80.63,73.66,61.54
50.80,83.09,79.75,68.51,97.70
53.95,47.12,59.62,69.32,73.65
66.38,75.28,51.23,91.66,68.77
86.76,75.14,76.85,78.55,76.72
79.64,89.94,72.95,80.64,68.65
91.60,59.85,97.01,69.40,48.54
71.92,59.78,82.61,60.21,63.31
41.66,63.22,33.64,46.24,81.41
81.79,76.38,55.50,69.28,69.95
52.62,92.55,83.16,66.69,70.40
73.13,39.37,66.29,59.77,54.98
65.78,96.97,79.61,61.43,78.59
